"employee_number","number_of_hours","reasons","withpay","dateleave"
"employee700","9","BACK PAIN",True,"2018-05-19"
"employee1475","9","EMERGENCY DUE FAMILY MATTER",True,"2018-05-19"
"employee1475","9","PARTIAL V/L",True,"2018-06-03"
"employee742","9","PARTIAL VL",True,"2018-06-18"
"employee742","9","PARTIAL VL",True,"2018-06-19"
"employee742","9","PARTIAL VL",True,"2018-06-20"
"employee742","9","PARTIAL VL",True,"2018-06-21"
"employee742","9","PARTIAL VL",True,"2018-06-22"
"employee563","9","vehicular trouble along the way to work",True,"2018-05-17"
"employee1089","9","important matter",True,"2018-05-23"
"employee1877","9","ABDOMINAL PAIN DUE LBM",True,"2018-05-20"
"employee101","9","ALLERGIC RHINITIS",True,"2018-05-21"
"employee1482","9","family problem",True,"2018-05-19"
"employee1912","9","burial of my grandmother death cert attached",True,"2018-05-17"
"employee1912","9","burial of my grandmother death cert attached",True,"2018-05-18"
"employee3066","9","VACATION",True,"2018-06-01"
"employee3066","9","VACATION",True,"2018-06-02"
"employee3066","9","VACATION",True,"2018-06-03"
"employee3066","9","VACATION",True,"2018-06-06"
"employee1896","9","ANNUAL VACATION",True,"2018-06-26"
"employee1896","9","ANNUAL VACATION",True,"2018-06-27"
"employee1896","9","ANNUAL VACATION",True,"2018-06-28"
"employee1896","9","ANNUAL VACATION",True,"2018-06-29"
"employee1896","9","ANNUAL VACATION",True,"2018-06-30"
"employee1896","9","ANNUAL VACATION",True,"2018-07-11"
"employee58","9","EL DUE PERSONAL MATTER",False,"2018-05-16"
"employee1484","9","EL PERSONAL FAMILY AFFAIRS WITH ATTACHMENT",True,"2018-05-19"
"employee1484","9","vl with reliever",True,"2018-06-23"
"employee1484","9","vl with reliever",True,"2018-06-24"
"employee1472","9","PLANNED FAMILY GATHERING.",True,"2018-06-24"
"employee1689","9","FAMILY VACATION W/ RELIEVER",True,"2018-05-24"
"employee1689","4.5","FAMILY VACATION W/ RELIEVER",True,"2018-05-25"
"employee1689","4.5","FAMILY VACATION W/ RELIEVER",False,"2018-05-25"
"employee133","9","dysmenorrhea",True,"2018-05-20"
"employee133","9","BDAY LEAVE",True,"2018-06-24"
"employee133","9","BDAY LEAVE",True,"2018-06-25"
"employee115","9","Will attend wedding",True,"2018-06-03"
"employee2473","9","EL DUE FLYOVER COLLAPSE AT AGUINALDO HIGHWAY",True,"2018-05-20"
"employee2215","9","SICK LEAVE DUE HEADACHE",True,"2018-05-18"
"employee1687","9","VACATION LEAVE",False,"2018-06-02"
"employee1687","9","VACATION LEAVE",False,"2018-06-03"
"employee740","9","vacation leave",True,"2018-06-14"
"employee740","9","vacation leave",True,"2018-06-16"
"employee740","9","vacation leave",True,"2018-06-17"
"employee740","9","vacation leave",True,"2018-06-18"
"employee32","9","flight disruption on return flight to clark",True,"2018-05-20"
"employee2094","9","SICK LEAVE .FILED HARD COPY ATTACHED MED CLEARANCE",True,"2018-05-17"
"employee1879","9","HEADACHE",True,"2018-05-18"
"employee100","9","personal matter",True,"2018-05-27"
"employee139","9","FEVER AND HEADACHE",True,"2018-05-17"
"employee756","9","SICK LEAVE DUE SWOLLEN FOOT",True,"2018-05-17"
"employee148","9","PARTIAL ANNUAL V/L WITH RLVR DOC.REP BAY",True,"2018-06-09"
"employee148","9","PARTIAL ANNUAL V/L WITH RLVR DOC.REP BAY",True,"2018-06-10"
"employee2090","9","Sick leave due elevated BP. with medical clearance",False,"2018-05-17"
"employee2090","9","Sick leave due elevated BP. with medical clearance",False,"2018-05-18"
"employee132","9","MUSCLE SPASM",True,"2018-05-20"
"employee748","9","SICK OF COUGH ND COLDS. CLEARANCE FRM CLINIC ATTCH",False,"2018-05-21"
"employee748","9","JUNE 6 -DAUGHTERS GRAD, 7- MY BIRRTHDAY",True,"2018-06-06"
"employee748","9","JUNE 6 -DAUGHTERS GRAD, 7- MY BIRRTHDAY",True,"2018-06-07"
"employee437","9","sl due acute gastritis with medication and clrnce",True,"2018-05-18"
"employee437","9","sl due acute gastritis with medication and clrnce",False,"2018-05-19"
"employee437","9","sl due acute gastritis with medication and clrnce",False,"2018-05-20"
"employee173","9","vacation",True,"2018-05-28"
"employee796","9","ALLERGIC RHINITIS",True,"2018-05-17"
"employee3051","9","SICK DUE FEVER",True,"2018-05-18"
"employee1733","9","SISTER WILL COME HOME FROM AUH. W/RELIEVER MEL/ORA",True,"2018-06-08"
"employee1721","9","family gathering",True,"2018-06-01"
"employee424","9","Immediate family member burial",True,"2018-05-24"
"employee177","9","due upset stomach due acid reflux w/ med clearance",True,"2018-05-16"
"employee769","9","AVAILMENT OF VACATION LEAVE",True,"2018-06-01"
"employee769","9","AVAILMENT OF VACATION LEAVE",True,"2018-06-02"
"employee166","9","DYSMENORRHEA",True,"2018-05-18"
"employee166","9","LBM",True,"2018-05-21"
"employee744","9","Birthday",True,"2018-06-18"
"employee1738","9","29MAY-SBU
30MAY-TOE
31MAY
03JUN-BYL
04JUN-CAB",False,"2018-06-04"
"employee426","9","SEVERE HEADACHE MEDICAL ATTACHED",True,"2018-05-19"
"employee426","9","VACATION LEAVE WITH RELIEVER JASON PALAD",True,"2018-06-01"
"employee3147","9","Out of Town",True,"2018-06-01"
"employee165","9","needed to go home to attend a legal matter",True,"2018-05-19"
"employee1742","9","dysmenorrhea",True,"2018-05-19"
"employee1967","9","took care of my children. pls see attached form.",True,"2018-05-17"
"employee3239","9","OUT OF TOWN VACATION",True,"2018-05-25"
"employee3239","9","OUT OF TOWN VACATION",True,"2018-05-26"
"employee3239","9","OUT OF TOWN VACATION",True,"2018-05-27"
"employee3239","9","OUT OF TOWN VACATION",True,"2018-05-28"
"employee433","9","cleared by sky clinic",True,"2018-05-19"
"employee181","9","addl leave due flight availability",True,"2018-06-01"
"employee1469","9","Fever",True,"2018-05-19"
"employee1469","9","Fever",True,"2018-05-20"
"employee1728","9","BODY PAIN",True,"2018-05-22"
"employee141","9","stomach ache with skymed certificate",True,"2018-05-21"
"employee1818","9","HEADACHE/TENSION",True,"2018-05-18"
"employee1959","9","Stomachache",True,"2018-05-21"
"employee512","9","DUE ATTENDED TO INTERNMENT OF MY GRAND SON",True,"2018-05-20"
"employee801","9","V/L",True,"2018-06-01"
"employee612","9","TO ACCOMPANY MY MOTHER TO THE PROVINCE",True,"2018-05-17"
"employee612","9","TO ACCOMPANY MY MOTHER TO THE PROVINCE",False,"2018-05-18"
"employee612","9","TO ACCOMPANY MY MOTHER TO THE PROVINCE",False,"2018-05-21"
"employee757","9","2 DAYS PARTIAL V/L",True,"2018-06-07"
"employee757","9","2 DAYS PARTIAL V/L",True,"2018-06-08"
"employee204","9","family vacation out of town",True,"2018-06-09"
"employee204","9","family vacation out of town",True,"2018-06-10"
"employee3203","9","check-up for my Hiatal Hernia",True,"2018-05-16"
"employee2463","9","SL DUE TONSILLOPHORYNGITIS W/MED CERT.",True,"2018-05-17"
"employee2463","9","SL DUE TONSILLOPHORYNGITIS W/MED CERT.",False,"2018-05-18"
"employee205","9","partial vl",True,"2018-05-24"
"employee1539","9","birthday celeb of my late grandmother",True,"2018-05-26"
"employee1539","9","birthday celeb of my late grandmother",True,"2018-05-27"
"employee425","9","SEVERE HEADACHE",True,"2018-05-19"
"employee425","9","FAMILY VACATION",True,"2018-05-30"
"employee1768","9","electricity shutdown",False,"2018-05-18"
"employee207","9","aunts hospitalization",True,"2018-05-19"
"employee207","9","aunts hospitalization",True,"2018-05-20"
"employee795","9","SICKLEAVE DUE LBM",True,"2018-05-17"
"employee846","9","family reunion",True,"2018-06-01"
"employee846","9","FAMILY REUNION",True,"2018-06-02"
"employee822","9","SL DUE SORE THROAT AND FEVER W/ CLINIC CLEARNCE",True,"2018-05-17"
"employee822","9","SL DUE SORE THROAT AND FEVER W/ CLINIC CLEARNCE",False,"2018-05-18"
"employee826","9","EMERGENCY/PREG WIFE",True,"2018-05-17"
"employee2504","9","partial v/l.",True,"2018-06-10"
"employee1457","9","VACATION LEAVE X FAMILY MATTERS",True,"2018-06-08"
"employee1457","9","VACATION LEAVE X FAMILY MATTERS",True,"2018-06-09"
"employee838","9","Vacation Leave",True,"2018-06-16"
"employee838","9","Vacation Leave",True,"2018-06-19"
"employee1734","4.5","My brothers 30th bday RLVR: Alfredo Torre (TOE)",True,"2018-05-16"
"employee3028","9","to construct my in cavite.",True,"2018-05-24"
"employee3028","9","construct my in cavite.",True,"2018-05-25"
"employee39","9","Charge to VL",True,"2018-05-21"
"employee39","9","Back pain",True,"2018-05-22"
"employee95","9","Extend vacation leave due attend  family matter.",True,"2018-05-31"
"employee1125","9","To visit my grand daughter in Long Beach CA.",True,"2018-06-04"
"employee1125","9","To visit my grand daughter in Long Beach CA.",True,"2018-06-05"
"employee1125","9","To visit my grand daughter in Long Beach CA.",True,"2018-06-06"
"employee1125","9","To visit my grand daughter in Long Beach CA.",True,"2018-06-07"
"employee1125","9","To visit my grand daughter in Long Beach CA.",True,"2018-06-08"
"employee2995","9","ATTNDD TO THE NEEDS OF MY 81 YRS OLD MOTHER",True,"2018-05-21"
"employee512","9","PROCESSED LOST ID",True,"2018-05-21"
"employee209","9","EL DUE TO HAD TO TAKE CARE OF SICK MOTHER AT HOME",True,"2018-05-21"
"employee957","9","follow up check up of my son",True,"2018-05-16"
"employee788","9","FAMILY EMERGENCY",True,"2018-05-21"
"employee224","9","need to attend to sick mother (elderly 82yrs old)",True,"2018-05-17"
"employee953","9","process impt docs",True,"2018-05-16"
"employee212","9","PERSONAL MATTER",True,"2018-05-18"
"employee2069","9","back pain",True,"2018-05-20"
"employee2069","9","back pain",True,"2018-05-21"
"employee3071","9","Migraine",True,"2018-05-16"
"employee953","9","lbm",True,"2018-05-18"
"employee936","9","VACATION",True,"2018-05-20"
"employee986","9","PERSONAL",True,"2018-05-26"
"employee529","9","neck pain",True,"2018-05-22"
"employee1707","9","partial leave of V/L",True,"2018-11-16"
"employee1707","9","partial leave of V/L",True,"2018-11-17"
"employee1477","9","e/l charge to v/l due important family matter .",True,"2018-05-22"
"employee1842","9","partial vacation leave",True,"2018-05-26"
"employee1842","9","partial vacation leave",True,"2018-05-27"
"employee1584","9","BACK PAIN",True,"2018-05-22"
"employee880","9","annual vacation leave",True,"2018-05-26"
"employee3150","4.5","sick leave l.b.m",True,"2018-05-22"
"employee3150","4.5","sick leave l.b.m",False,"2018-05-22"
"employee860","9","my motorcycle broke down see letter attach pls",True,"2018-05-22"
"employee909","9","sick wife due to hypertension",False,"2018-05-16"
"employee909","9","sick son due to ITP",False,"2018-05-22"
"employee866","9","stomach ache",True,"2018-05-22"
"employee1543","9","PERSONAL MATTER",True,"2018-05-20"
"employee206","9","TO ENROLL MARY JASMIN AT SJEI.",True,"2018-05-22"
"employee1553","9","VL
BR: K SITJAR",True,"2018-05-27"
"employee143","9","NEURALGIA",True,"2018-05-22"
"employee432","9","PARTIAL LEAVE BR. D. LAGDAMEN",True,"2018-05-27"
"employee649","9","DUE T MUSCLE PAIN, CLRNCE ATTD T MY DSR-5/22/18",True,"2018-05-21"
"employee3199","9","VL
BR R.TIU",True,"2018-05-27"
"employee702","9","ATTEND GRANDMOTHERS BURIAL (B/R: MS. M. FUENTES)",True,"2018-05-23"
"employee3238","9","due to had accompanied my wife with fever.",True,"2018-05-21"
"employee143","9","One day VL",True,"2018-05-25"
"employee1649","9","FEVER AND FLUE",True,"2018-05-21"
"employee603","9","S/L-{LBM} W/ CLEARANCE",True,"2018-05-20"
"employee3164","9","FEVER",True,"2018-05-20"
"employee1695","9","ACCOMPANIED SICK WIFE AT HOME DUE TO HYPERTENSION",False,"2018-05-18"
"employee430","9","BURIAL OF MY FATHER",True,"2018-05-26"
"employee430","9","BURIAL OF MY FATHER",True,"2018-05-27"
"employee430","9","BURIAL OF MY FATHER",True,"2018-05-30"
"employee430","9","BURIAL OF MY FATHER",True,"2018-05-31"
"employee430","9","BURIAL OF MY FATHER",True,"2018-06-01"
"employee430","9","BURIAL OF MY FATHER",True,"2018-06-02"
"employee430","9","BURIAL OF MY FATHER",True,"2018-06-03"
"employee976","4.5","SPRAIN RIGHT SHOULDER",True,"2018-05-19"
"employee976","4.5","SPRAIN RIGHT SHOULDER",False,"2018-05-19"
"employee1028","9","VL",False,"2018-06-12"
"employee989","9","VACATION LEAVE",True,"2018-05-25"
"employee1614","9","FAMILY MATTER",True,"2018-05-25"
"employee438","9","PERSONAL MATTER",True,"2018-05-24"
"employee1011","9","I WILL ACCOMPANY MY FAMILY FROM ILO TO MANILA",True,"2018-05-24"
"employee1470","9","vacation leave......... to assist my brother",True,"2018-05-22"
"employee1004","9","DUE TO HYPERSENSITIVITY SECONDARY TO INGESTION",True,"2018-05-20"
"employee1004","4.5","DUE TO HYPERSENSITIVITY SECONDARY TO INGESTION",True,"2018-05-21"
"employee1004","4.5","DUE TO HYPERSENSITIVITY SECONDARY TO INGESTION",False,"2018-05-21"
"employee1010","9","BIRTHDAY LEAVE",True,"2018-06-25"
"employee1010","9","BIRTHDAY LEAVE",True,"2018-06-26"
"employee1002","9","BACK PAIN",True,"2018-05-21"
"employee1014","9","fever and headache",True,"2018-05-20"
"employee1014","9","fever and headache",False,"2018-05-21"
"employee1867","9","V/L",True,"2018-05-26"
"employee1049","9","HEADACHE",True,"2018-05-22"
"employee236","9","SETTLE IMPORTANT MATTER",True,"2018-05-24"
"employee3023","9","TOOTACHE",True,"2018-05-22"
"employee725","9","accompany my aunt to airport",True,"2018-05-19"
"employee739","9","for NBI clearance",False,"2018-05-24"
"employee698","9","toothache swollenface",True,"2018-05-21"
"employee698","9","toothache swollenface",True,"2018-05-22"
"employee762","9","LBM",True,"2018-05-20"
"employee759","9","toothache",True,"2018-05-22"
"employee759","4.5","toothache",True,"2018-05-23"
"employee759","4.5","toothache",False,"2018-05-23"
"employee1811","9","important matter",True,"2018-05-28"
"employee738","9","hypertension",True,"2018-05-22"
"employee1989","9","to assist my daugthers school enrollment",True,"2018-05-21"
"employee3085","9","LBM",True,"2018-05-21"
"employee93","9","EL charge to VL due attend to
impt family matters.",True,"2018-05-21"
"employee729","9","head ache",True,"2018-05-23"
"employee771","9","stomachache",True,"2018-05-22"
"employee761","9","due to hospitalization and confinement of my wife.",True,"2018-05-16"
"employee761","9","due to hospitalization and confinement of my wife.",False,"2018-05-17"
"employee761","9","due to hospitalization and confinement of my wife.",False,"2018-05-18"
"employee761","9","due to hospitalization and confinement of my wife.",False,"2018-05-21"
"employee761","9","due to hospitalization and confinement of my wife.",False,"2018-05-22"
"employee2028","9","schedule leave .",True,"2018-06-02"
"employee2028","9","schedule leave .",True,"2018-06-03"
"employee1175","9","LBM",True,"2018-05-21"
"employee1175","9","PERSONAL MATTER",True,"2018-05-26"
"employee2081","9","Due fixed important papers at Las Piñas municipal",False,"2018-05-21"
"employee1504","9","NO REASON DP:5/2",True,"2018-05-27"
"employee1504","9","NO REASON DP:5/2",True,"2018-05-28"
"employee1504","9","NO REASON DP:5/2",True,"2018-05-29"
"employee1858","9","CHURCH EVENT DP:5/8",False,"2018-05-17"
"employee1858","9","CHURCH EVENT DP:5/8",False,"2018-05-18"
"employee1858","9","CHURCH EVENT DP:5/8",False,"2018-05-19"
"employee1442","9","VACATION DP: 5/1",True,"2018-05-17"
"employee1442","9","VACATION DP: 5/1",True,"2018-05-18"
"employee1279","9","NO REASON DP: 5/14",True,"2018-05-17"
"employee1599","9","VACATION TRIP IN SIARGAO DP: 5/1",True,"2018-05-31"
"employee1599","4.5","SECURE AN LOA FORM DOCTOR DP: 5/22",True,"2018-05-25"
"employee1174","9","AVAIL INITIAL VL DP: 5/7",True,"2018-05-19"
"employee1174","9","AVAIL INITIAL VL DP: 5/7",True,"2018-05-20"
"employee1174","9","AVAIL INITIAL VL DP: 5/7",True,"2018-05-21"
"employee1273","9","NO REASON DP: 5/17",True,"2018-05-27"
"employee988","9","PARTIAL VL DP: 5/10",True,"2018-05-17"
"employee988","9","PARTIAL VL DP: 5/10",True,"2018-05-18"
"employee988","9","PARTIAL VL DP: 5/10",True,"2018-05-19"
"employee1616","9","FAMILY VACATION DP: 2/5",True,"2018-05-17"
"employee1616","9","FAMILY VACATION DP: 2/5",True,"2018-05-20"
"employee1616","4.5","FAMILY VACATION DP: 2/5",True,"2018-05-21"
"employee1616","4.5","FAMILY VACATION DP: 2/5",False,"2018-05-21"
"employee1616","9","FAMILY VACATION DP: 2/5",False,"2018-05-22"
"employee1616","9","FAMILY VACATION DP: 2/5",False,"2018-05-23"
"employee1616","9","FAMILY VACATION DP: 2/5",False,"2018-05-24"
"employee448","9","NO REASON DP: 5/1",True,"2018-05-16"
"employee448","9","NO REASON DP: 4/9",True,"2018-05-28"
"employee448","9","NO REASON DP: 4/9",True,"2018-05-29"
"employee448","9","NO REASON DP: 4/9",True,"2018-05-30"
"employee448","9","NO REASON DP: 4/9",True,"2018-05-31"
"employee1918","9","FAMILY MATTERS DP: 5/5",False,"2018-05-24"
"employee1918","9","FAMILY MATTERS DP: 5/5",False,"2018-05-25"
"employee1918","9","FAMILY MATTERS DP: 5/5",False,"2018-05-26"
"employee291","9","PROVINCE VACATION TO ATTEND FAMILY REUNION AVAIL VL DP: 5/13",True,"2018-05-22"
"employee291","9","PROVINCE VACATION TO ATTEND FAMILY REUNION AVAIL VL DP: 5/13",True,"2018-05-25"
"employee291","9","PROVINCE VACATION TO ATTEND FAMILY REUNION AVAIL VL DP: 5/13",True,"2018-05-26"
"employee291","9","PROVINCE VACATION TO ATTEND FAMILY REUNION AVAIL VL DP: 5/13",True,"2018-05-27"
"employee291","9","PROVINCE VACATION TO ATTEND FAMILY REUNION AVAIL VL DP: 5/13",True,"2018-05-28"
"employee291","9","PROVINCE VACATION TO ATTEND FAMILY REUNION AVAIL VL DP: 5/13",True,"2018-05-29"
"employee1178","9","CXLD VL FILED DATED DP: 5/5",True,"2018-05-19"
"employee1178","9","CXLD VL FILED DATED DP: 5/5",True,"2018-05-20"
"employee1127","9","VACATION LEAVE DP: 4/9",True,"2018-05-17"
"employee1910","9","FAMILY GATHERING DP: 5/9",False,"2018-05-19"
"employee1910","9","FAMILY GATHERING DP: 5/9",False,"2018-05-20"
"employee1135","9","PARTIAL VACATION LEAVE DP: 5/7",True,"2018-05-16"
"employee1186","4.5","HALF DAY LEAVE DP: 5/15",True,"2018-05-17"
"employee1135","9","PARTIAL VACATION LEAVE DP: 5/7",True,"2018-05-17"
"employee1135","9","PARTIAL VACATION LEAVE DP: 5/7",True,"2018-05-18"
"employee519","9","PARTIAL VL DP: 4/30",True,"2018-05-17"
"employee519","9","PARTIAL VL DP: 4/30",True,"2018-05-18"
"employee519","9","PARTIAL VL DP: 4/30",True,"2018-05-19"
"employee1603","9","TO ATTEND FAMILY REUNION AT MY PROVINCE IN BILIRAN DP: 5/15",True,"2018-05-25"
"employee1603","9","TO ATTEND MY NIECES FIRST B-DAY AT MY HOME TOWN DP: 2/2",True,"2018-05-20"
"employee1603","9","TO ATTEND MY NIECES FIRST B-DAY AT MY HOME TOWN DP: 2/2",True,"2018-05-21"
"employee1603","9","TO ATTEND MY NIECES FIRST B-DAY AT MY HOME TOWN DP: 2/2",False,"2018-05-22"
"employee465","4.5","HALF DAY LEAVE TRANSFER OF RESIDENCE DP: 5/16",True,"2018-05-17"
"employee1703","9","NO REASON DP: 5/15",True,"2018-05-19"
"employee1240","9","NO REASON DP: 5/16",True,"2018-05-21"
"employee1126","9","PARTIAL VL DP: 4/25",True,"2018-05-27"
"employee1126","9","PARTIAL VL DP: 4/25",True,"2018-05-28"
"employee1126","9","PARTIAL VL DP: 4/25",True,"2018-05-29"
"employee1641","9","MY SISTERS WEDDING DP: 5/20",True,"2018-05-24"
"employee1641","9","MY SISTERS WEDDING DP: 5/20",True,"2018-05-25"
"employee1641","9","MY SISTERS WEDDING DP: 5/20",True,"2018-05-26"
"employee1641","9","MY SISTERS WEDDING DP: 5/20",True,"2018-05-27"
"employee306","9","BIRTHDAY LEAVE DP: 4/27",True,"2018-05-20"
"employee1412","9","NO REASON DP: 3/15",True,"2018-05-19"
"employee1932","9","NO REASON DP: 4/30",False,"2018-05-25"
"employee1932","9","NO REASON DP: 4/30",False,"2018-05-26"
"employee1932","9","NO REASON DP: 4/30",False,"2018-05-27"
"employee1231","9","NO REASON DP: 4/9",True,"2018-05-18"
"employee1231","9","NO REASON DP: 4/9",True,"2018-05-19"
"employee1231","9","NO REASON DP: 4/9",True,"2018-05-20"
"employee1231","9","NO REASON DP: 4/9",True,"2018-05-21"
"employee1598","9","Head ache and body pain,
Office duly advised",True,"2018-05-22"
"employee1598","9","Head ache and body pain,
Office duly advised",True,"2018-05-23"
"employee2257","9","Lumbar spondylosis (with medical certificate)",True,"2018-05-21"
"employee1119","9","attending a scheduled motorcycle safety driving",True,"2018-05-26"
"employee1119","9","attending a scheduled motorcycle safety driving",True,"2018-05-27"
"employee1121","9","joint pain , muscle pain - Please see attached",True,"2018-05-17"
"employee3057","4.5","MOTORCYCLE FLAT TIRE ON THE WAY TO WORK",True,"2018-05-21"
"employee1130","9","vacation leave",True,"2018-05-27"
"employee1117","9","Personal matter (medical)",True,"2018-05-19"
"employee516","9","PARTIAL VACATION LEAVE",True,"2018-05-26"
"employee655","9","body pain",True,"2018-05-23"
"employee1760","9","VL
BR: Angelo Cruz",True,"2018-05-26"
"employee67","9","kneepain",True,"2018-05-18"
"employee67","9","kneepain",True,"2018-05-19"
"employee3034","9","Partial leave in Lieu Mr. Renato P. Amistoso.",True,"2018-05-29"
"employee692","9","Partial Leave.
E.J Bartolome 28 
R. Supan 29,30",True,"2018-05-28"
"employee692","9","Partial Leave.
E.J Bartolome 28 
R. Supan 29,30",True,"2018-05-29"
"employee692","9","Partial Leave.
E.J Bartolome 28 
R. Supan 29,30",True,"2018-05-30"
"employee1590","9","hyperuricemia ; t/c gouty arthritis",True,"2018-05-22"
"employee1899","9","NO REASON DP: 4/21",False,"2018-05-27"
"employee293","9","LOLAS B-DAY/ PARENTS WEDDING ANNIVERSARY DP: 4/18",True,"2018-05-17"
"employee293","9","LOLAS B-DAY/ PARENTS WEDDING ANNIVERSARY DP: 4/18",True,"2018-05-18"
"employee293","9","DFA APPOINTMENT DP: 5/9",True,"2018-05-23"
"employee1669","9","VACATION LEAVE DP: 5/3",True,"2018-05-16"
"employee2484","9","NO REASON DP: 4/18",True,"2018-05-26"
"employee1666","9","NO REASON DP: 3/12",True,"2018-05-23"
"employee1666","9","NO REASON DP: 3/12",False,"2018-05-16"
"employee1666","9","NO REASON DP: 3/12",False,"2018-05-17"
"employee1666","9","NO REASON DP: 3/12",False,"2018-05-18"
"employee1666","9","NO REASON DP: 3/12",False,"2018-05-19"
"employee1666","9","NO REASON DP: 3/12",False,"2018-05-20"
"employee1095","9","VACATION LEAVE DP:5/17",True,"2018-05-20"
"employee1912","9","burial of my grandmother death cert attached",False,"2018-05-19"
"employee1912","9","burial of my grandmother death cert attached",False,"2018-05-20"
"employee1040","9","BIRTHDAY OF MY SON...VACATION LEAVE.",True,"2018-05-27"
"employee307","9","HEADACHE 5/18",True,"2018-05-17"
"employee1927","9","HEADACHE DP: 5/21",False,"2018-05-20"
"employee307","9","VACATION ONLY DP: 5/9",True,"2018-05-27"
"employee307","9","VACATION ONLY DP: 5/9",True,"2018-05-28"
"employee307","9","VACATION ONLY DP: 5/9",True,"2018-05-29"
"employee307","9","VACATION ONLY DP: 5/9",True,"2018-05-30"
"employee307","9","VACATION ONLY DP: 5/9",True,"2018-05-31"
"employee1172","9","NO REASON DP: 5/9",True,"2018-05-16"
"employee1172","9","NO REASON DP: 5/9",True,"2018-05-19"
"employee1172","9","NO REASON DP: 5/9",True,"2018-05-20"
"employee296","9","GRANDMA & GRANDPAS 80TH B-DAY CELEBRATION DP: 4/28",True,"2018-05-20"
"employee296","9","GRANDMA & GRANDPAS 80TH B-DAY CELEBRATION DP: 4/28",True,"2018-05-21"
"employee1521","9","NO REASON DP: 4/19",True,"2018-05-28"
"employee1521","9","NO REASON DP: 4/19",True,"2018-05-29"
"employee3016","9","LBM. Cleared through Sky Clinic.",False,"2018-05-19"
"employee1185","9","VACATION DP: 5/7",True,"2018-05-16"
"employee1234","9","VACATION DP: 4/25",True,"2018-05-19"
"employee1234","9","VACATION DP: 4/25",True,"2018-05-20"
"employee1241","9","NO REASON LEAVE DATE MAY 22-31 DP:5/7",True,"2018-05-24"
"employee1241","9","NO REASON LEAVE DATE MAY 22-31 DP:5/7",True,"2018-05-25"
"employee1241","9","NO REASON LEAVE DATE MAY 22-31 DP:5/7",True,"2018-05-26"
"employee1241","9","NO REASON LEAVE DATE MAY 22-31 DP:5/7",True,"2018-05-27"
"employee1241","9","NO REASON LEAVE DATE MAY 22-31 DP:5/7",True,"2018-05-28"
"employee1241","9","NO REASON LEAVE DATE MAY 22-31 DP:5/7",True,"2018-05-31"
"employee1953","9","VACATION DP: 5/4",False,"2018-05-31"
"employee3097","9","family matter. moms con. had to stay with her.",True,"2018-05-17"
"employee1953","9","DAY OFF ON MAY 20 AND 21,2018 DP: 5/4",False,"2018-05-19"
"employee1953","9","DAY OFF ON MAY 20 AND 21,2018 DP: 5/4",False,"2018-05-22"
"employee1953","9","DAY OFF ON MAY 20 AND 21,2018 DP: 5/4",False,"2018-05-23"
"employee1929","9","VACATION DP: 5/10",False,"2018-05-23"
"employee2468","9","VACATION IN SUBIC DP: 5/2",True,"2018-05-31"
"employee1903","9","FAMILY VACATION DP: 4/5",False,"2018-05-24"
"employee1903","9","FAMILY VACATION DP: 4/5",False,"2018-05-25"
"employee1903","9","FAMILY VACATION DP: 4/5",False,"2018-05-28"
"employee273","9","NO REASON DP: 4/27",True,"2018-05-16"
"employee273","9","NO REASON DP: 4/27",True,"2018-05-17"
"employee273","9","NO REASON DP: 4/27",True,"2018-05-18"
"employee287","9","TRIP TO U.S (THIS SUPERSEDES FILED LEAVE FOR MAY 14-27,2018) DP: 5/11",True,"2018-05-22"
"employee287","9","TRIP TO U.S (THIS SUPERSEDES FILED LEAVE FOR MAY 14-27,2018) DP: 5/11",True,"2018-05-23"
"employee287","9","TRIP TO U.S (THIS SUPERSEDES FILED LEAVE FOR MAY 14-27,2018) DP: 5/11",True,"2018-05-24"
"employee287","9","TRIP TO U.S (THIS SUPERSEDES FILED LEAVE FOR MAY 14-27,2018) DP: 5/11",True,"2018-05-25"
"employee287","9","TRIP TO U.S (THIS SUPERSEDES FILED LEAVE FOR MAY 14-27,2018) DP: 5/11",True,"2018-05-26"
"employee304","9","VACATION LEAVE DP: 5/10",True,"2018-05-16"
"employee1693","9","VACATION LEAVE DP: 2/28",True,"2018-05-23"
"employee1693","9","VACATION LEAVE DP: 2/28",True,"2018-05-24"
"employee1693","9","VACATION LEAVE DP: 2/28",True,"2018-05-25"
"employee1693","9","VACATION LEAVE DP: 2/28",True,"2018-05-26"
"employee1693","9","VACATION LEAVE DP: 2/28",False,"2018-05-27"
"employee2490","9","NO REASON DP: 5/16",True,"2018-05-18"
"employee1664","9","VACATION TRIP DP: 3/22",True,"2018-05-21"
"employee1664","9","VACATION TRIP DP: 3/22",True,"2018-05-22"
"employee1664","9","VACATION TRIP DP: 3/22",True,"2018-05-23"
"employee881","9","PARTIAL VACATION LEAVE DP: 5/5",True,"2018-05-19"
"employee2807","9","GO HOME TO HOMETOWN FOR FAMILY REUNION DP: 5/9",False,"2018-05-20"
"employee2807","9","GO HOME TO HOMETOWN FOR FAMILY REUNION DP: 5/9",False,"2018-05-21"
"employee1137","9","TO ATTEND TO THE WAKE AND BURIAL OF MY MOTHER-IN-LAW IN DIPOLOG CITY DP: 5/17",True,"2018-05-22"
"employee1137","9","TO ATTEND TO THE WAKE AND BURIAL OF MY MOTHER-IN-LAW IN DIPOLOG CITY DP: 5/17",True,"2018-05-23"
